Timestamp,Name:,Who will win at the end of the first 90 minutes? [Uruguay vs France],Who will win at the end of the first 90 minutes? [Brazil vs Belgium],Who will win at the end of the first 90 minutes? [Russia vs Croatia],Who will win at the end of the first 90 minutes? [Sweden vs England]
7/5/2018 10:42:12,Itay,2,X,X,2
7/5/2018 10:43:10,Mor,2,1,X,X
7/5/2018 10:43:18,Shay,1,2,2,1
7/5/2018 10:44:01,David,2,X,2,X
7/5/2018 10:45:48,Tal,1,1,2,1
7/5/2018 10:53:02,boaz,2,1,2,2
7/5/2018 10:54:09,פלח,1,X,2,X
7/5/2018 17:40:50,Orr,2,1,2,X
7/5/2018 19:11:16,Michal ,1,1,2,X
7/5/2018 20:17:13,Yaron,2,1,2,2
7/5/2018 20:18:56,Modli,2,2,2,2
7/6/2018 12:00:19,Roza,2,2,1,2
